id	text_ko	text_en	text_ja
start	처음부터	New Game	はじめから
start_splash	행동 시작!	Escape Begins!	だっしゅつスタート！
setting_title	설정	Settings	設定
achievement	도전과제	Achievements	実績
credits	크레딧	Credits	クレジット
licenses	라이선스	Licenses	ライセンス
sound_title	사운드	Sound	サウンド
language_title	언어	Language	言語
volume_master	전체	Master	全体
volume_bgm	배경음	BGM	BGM
volume_sfx	효과음	SFX	効果音
apply	적용	Apply	適用
close	닫기	Close	閉じる
cancel	취소	Cancel	キャンセル
continue	이어하기	Continue	続きから
load	불러오기	Load	ロード
save	저장	Save	セーブ
inventory	소지품	Items	アイテム
information	정보	Info	情報
game_title	탈출!<br>인연의 집	Escape!<br>House of Bonds	だっしゅつ！<br>きずなのいえ
game_title_top	탈출!	Escape!	だっしゅつ！
game_title_bottom	인연의 집	House of Bonds	きずなのいえ
language_ko	한국어	한국어	한국어
language_en	English	English	English
language_ja	日本語	日本語	日本語
inventory_toast_assemble_select_two_or_more	두 개 이상의 아이템을 선택하세요.	Select two or more items.	2つ以上のアイテムを選んでください。
inventory_toast_assemble_failed	조합할 수 없습니다.	Cannot assemble these items.	組み合わせられません。
inventory_toast_item_acquired	{0} 획득	Obtained {0}.	{0}を手に入れた。
inventory_toast_disassemble_select_item	분해할 아이템을 선택하세요.	Select an item to disassemble.	分解するアイテムを選んでください。
inventory_toast_disassemble_select_one	하나의 아이템만 선택하세요.	Select only one item.	アイテムを1つだけ選んでください。
inventory_toast_disassemble_failed	분해할 수 없습니다.	Cannot disassemble this item.	分解できません。
inventory_toast_disassemble_success	분해했습니다.	Disassembled.	分解しました。
display_title	화면	Display	画面
resolution_title	해상도	Resolution	解像度
window_mode_title	창 모드	Window Mode	ウィンドウモード
window_mode_fullscreen	전체 화면	Fullscreen	フルスクリーン
window_mode_windowed	창 모드	Windowed	ウィンドウ
title_button	타이틀로	Title	タイトル
return_to_title_confirm	타이틀로 돌아가시겠습니까?	Return to the title screen?	タイトルに戻りますか？
reset_all	전체 초기화	Reset All	すべて初期化
reset_all_confirm	세이브 데이터와 설정을 모두 초기화하고 타이틀로 돌아가시겠습니까?	Reset all save data and settings, then return to the title screen?	セーブデータと設定をすべて初期化して、タイトルに戻りますか？
save_data_title	세이브 데이터	Save Data	セーブデータ
room_bedroom	침실	Bedroom	寝室
inventory_back	뒤로 가기	Back	戻る
inventory_description	설명	Description	説明
inventory_disassemble	분해	Disassemble	分解
inventory_assemble	조합	Assemble	組み合わせる
inventory_assemble_disassemble	조합/분해	Assemble/Disassemble	組み合わせ/分解
yes	예	Yes	はい
no	아니오	No	いいえ
game_over	게임 오버	Game Over	ゲームオーバー
pause	일시정지	Pause	一時停止
observe	관찰하기	Observe	観察する
resume	돌아가기	Resume	戻る
lockpick_success	해제 성공!	Unlocked!	解錠成功！
lockpick_tip	락픽 방법<br>1. 핀에는 맞춰야 하는 <color=#FFD95A>순서</color>가 있습니다.<br>2. <color=#7FE7FF>락픽 도구</color>로 올바른 핀을 하나씩 밀어 올리세요.<br>3. 핀의 <color=#FFD95A>경계면</color>이 <color=#7FE7FF>기준선</color>에 맞으면 <color=#8CFF9A>딸깍 소리와 함께 고정</color>됩니다.<br>4. 앞 순서의 핀을 맞추면 <color=#FF8A8A>그보다 뒤 순서에 고정된 핀</color>만 역순으로 풀립니다.<br>5. 모든 핀을 올바른 순서로 맞추면 자물쇠를 <color=#8CFF9A>열 수 있습니다</color>.	How to Pick a Lock<br>1. The pins must be set in the correct <color=#FFD95A>order</color>.<br>2. Use the <color=#7FE7FF>lockpick</color> to lift the correct pin, one at a time.<br>3. When the pin's <color=#FFD95A>seam</color> reaches the <color=#7FE7FF>guide line</color>, it <color=#8CFF9A>clicks into place</color>.<br>4. If you set an earlier pin, only the <color=#FF8A8A>pins set later in the order</color> are released, in reverse order.<br>5. Set every pin in the correct order to <color=#8CFF9A>unlock</color> the lock.	ピッキング方法<br>1. ピンには合わせる<color=#FFD95A>順番</color>があります。<br>2. <color=#7FE7FF>ピック</color>を使い、正しいピンを1本ずつ押し上げましょう。<br>3. ピンの<color=#FFD95A>境目</color>が<color=#7FE7FF>基準線</color>に合うと、<color=#8CFF9A>カチッと固定</color>されます。<br>4. 前の順番のピンを合わせると、<color=#FF8A8A>それより後の順番で固定されたピン</color>だけが逆順に外れます。<br>5. すべてのピンを正しい順番で合わせると、錠を<color=#8CFF9A>解錠</color>できます。
inventory_empty	획득한 아이템이 없습니다.	No items acquired.	入手したアイテムはありません。
inventory_equip	장착	Equip	装備
info_empty	획득한 정보가 없습니다.	No information acquired.	入手した情報はありません。
save_mode_description	저장할 슬롯을 선택하세요.	Select a slot to save.	セーブするスロットを選んでください。
load_mode_description	불러올 슬롯을 선택하세요.	Select a slot to load.	ロードするスロットを選んでください。
save_overwrite_confirm	덮어쓰시겠습니까?	Overwrite this save?	このセーブに上書きしますか？
load_confirm	불러오시겠습니까?<br>{0}	Load this save?<br>{0}	このセーブをロードしますか？<br>{0}
name_placeholder	이름을 입력하세요	Enter your name	名前を入力してください
player_name_default	나	Me	私
name_confirm	"{0}"가 맞습니까?	Is "{0}" correct?	「{0}」でよろしいですか？
name_invalid	사용할 수 없는 이름입니다.	This name cannot be used.	この名前は使用できません。
loading	로딩	Loading	ロード中
ending_prompt	플레이해 주셔서 감사합니다.	Thank You for Playing.	遊んでいただきありがとうございます。
title_name_prompt	당신의 이름은 무엇입니까?	What is your name?	あなたの名前は？
confirm	확인	Confirm	確認
back	뒤로 가기	Back	戻る
lockpick_title	자물쇠를 피킹하자!	Pick the lock!	錠前をピッキングしよう！
lockpick_retry	다시하기	Retry	やり直す
lockpick_exit	그만두기	Exit	終了
achievement_locked_name	미달성	Locked	未達成
achievement_empty	표시할 도전과제가 없습니다.	No achievements to display.	表示できる実績がありません。
achievement_unlocked	도전과제 달성!	Achievement Unlocked!	実績達成！
save_no_data	저장 데이터가 없습니다.	No save data.	セーブデータがありません。
save_slot_saved	슬롯 {0}에 저장했습니다.	Saved to slot {0}.	スロット{0}にセーブしました。
save_slot_empty_toast	슬롯 {0}이 비어 있습니다.	Slot {0} is empty.	スロット{0}は空です。
save_slot_empty_label	슬롯 {0}<br>비어 있음	SLOT {0}<br>EMPTY	スロット{0}<br>空き
save_room_unknown	알 수 없음	Unknown	不明
lockpick_entry_start	락픽 시작!	Lockpicking Start!	ピッキング開始！
ending_credit_created_by	만든 사람	Created by	クリエイター
ending_credit_presented_by	제작사	Presented by	制作
ending_credit_third_party_notice	라이선스는 타이틀 메뉴에서 확인할 수 있습니다.	Licenses are available from the title menu.	ライセンスはタイトルメニューで確認できます。
tutorial_tap_to_close	화면 아무 곳이나 눌러 계속	Tap anywhere to continue	画面のどこかを押して続ける
bed_menu_prompt	무엇을 할까?	What should I do?	どうしよう？
