id	speaker_id	face	type	bg_path	flag	text_ko	effect	shader	bgm	text_en	text_ja
interact_room_bedroom_dark_prev						어두워서 잘 보이지 않는다.				It is too dark to see clearly.	暗くてよく見えない。
						손이 닿을 만한 곳에 <sfx=question_bell><color=#D8E88F>무드등</color>이 있는 것 같다.				There seems to be a <sfx=question_bell><color=#D8E88F>mood lamp</color> within reach.	手の届きそうなところに<sfx=question_bell><color=#D8E88F>ムードライト</color>があるようだ。
interact_door_living_room_dark_action						문 너머 거실은 윤곽도 잡히지 않을 만큼 어둡다.				The living room beyond the door is too dark to make out even its outline.	ドアの向こうのリビングは、輪郭さえ見えないほど暗い。
handcuffed_door_living_room_prev						침대 프레임에 묶인 손목이 당겨졌다.				The wrist chained to the bed frame pulled tight.	ベッドフレームにつながれた手首が引っ張られた。
						이 상태로는 침대에서 벗어날 수 없다.				I cannot get off the bed like this.	この状態ではベッドから離れられない。
flashlight_door_living_room_prev						이 <color=#D8E88F>손전등</color>의 불빛이면 어둠을 밝히기에 충분하겠다.				<color=#D8E88F>With this, I can reach the living room.</color>	<color=#D8E88F>これならリビングへ出られそうだ。</color>
interact_room_bedroom_held_prev	yeon	closeeye_n				<type_ms=120>쿨.. <ms=350>쿨..	페이드등장:대사전+클로즈업:대사전			<type_ms=120>Zzz... <ms=350>zzz...	<type_ms=120>すぅ……<ms=350>すぅ……
						연이가 내 몸을 끌어안고 있어 다른 곳을 조사하기 힘들 것 같다.	페이드퇴장			With Yeon holding me, it will be difficult to search anywhere else.	ヨニに体を抱きしめられていて、ほかの場所を調べるのは難しそうだ。
						억지로 빠져나오면 연이를 깨울 것이다.				Forcing my way out would wake Yeon.	無理に抜け出せば、ヨニを起こしてしまう。
						<sfx=question_bell><color=#D8E88F>연이를 깨우지 않고 빠져나갈 방법</color>을 찾아보자.				Let's find <sfx=question_bell><color=#D8E88F>a way to slip free without waking her.</color>	<sfx=question_bell><color=#D8E88F>ヨニを起こさずに抜け出す方法</color>を探してみよう。
interact_obj_pin_bedroom_prev						협탁 위에 <ms=250><color=#D8E88F>머리핀 하나</color>가 놓여 있다.				A <ms=250><color=#D8E88F>hairpin</color> rests on the nightstand.	ベッドサイドテーブルの上に<ms=250><color=#D8E88F>ヘアピンが一本</color>置かれている。
						연이가 잠들기 전에 빼 둔 모양이다.				She must have taken it off before falling asleep.	ヨニが眠る前に外しておいたようだ。
						소리 나지 않게 집어 들었다.				I picked it up without making a sound.	音を立てないように手に取った。
